Landfill (film) - SI units,multilayer film waste,false,36e9153c-f08a-4edf-8aae-80eef6f20e3d,false,,Z2: REMADE,,,,1,0.05,0.3635,0.05,,,,-1,,,,,,,,,0.11
"market for electricity, for reuse in municipal waste incineration only | electricity, for reuse in municipal waste incineration only | APOS, S","electricity, for reuse in municipal waste incineration only",false,637ee275-a239-4dcb-b084-abfa110dd65b,false,RoW,382:Waste treatment and disposal,3821:Treatment and disposal of non-hazardous waste,,,,,,,3.6,3.6,,,3.6,,,,,,,,
"market for maleic anhydride | maleic anhydride | APOS, S",maleic anhydride,false,4c2b6470-79f6-40e4-b6c0-08a769c9ab04,false,GLO,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2011:Manufacture of basic chemicals,,,,,,,,,,,,1,,,,,,,-0.00094
"market for nylon 6 | nylon 6 | APOS, S",nylon 6,false,d16b5d3f-b5e4-45b6-9a04-23cde05220c0,false,RoW,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2013:Manufacture of plastics and synthetic rubber in primary forms,,,,,,,,,,,,,1,,,,,,-0.289
"market for polyethylene, linear low density, granulate | polyethylene, linear low density, granulate | APOS, S","polyethylene, linear low density, granulate",false,ff4734a5-a4a6-4960-bfbd-febae7a64f65,false,GLO,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2013:Manufacture of plastics and synthetic rubber in primary forms,,,,,,,,,,,,,,1,,,,,-0.821
"market for polypropylene, granulate | polypropylene, granulate | APOS, S","polypropylene, granulate",false,66ca2f38-5e51-4546-83c0-d7cef0c55c7c,false,GLO,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",2013:Manufacture of plastics and synthetic rubber in primary forms,,,,0.95,0.6365,-1,,,,,,,,,1,,,,
"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | APOS, S","transport, freight, lorry 7.5-16 metric ton, EURO6",false,73585052-b3e9-4cde-832d-2db3272d2ae5,false,RoW,492:Other land transport,4923:Freight transport by road,,,-0.264,,,,,,,,,,,,,1,,,
"market group for electricity, medium voltage | electricity, medium voltage | APOS, S","electricity, medium voltage",false,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,false,US,"351:Electric power generation, transmission and distribution","3510:Electric power generation, transmission and distribution",,,,-0.408,-0.408,-1,,,,,,,,,,,3.6,,-3.24
"market group for heat, district or industrial, natural gas | heat, district or industrial, natural gas | APOS, S","heat, district or industrial, natural gas",false,1125e767-7b5d-442e-81d6-9b0d3e1919ac,false,GLO,353:Steam and air conditioning supply,3530:Steam and air conditioning supply,,,,-41,,-41,,,,,,,,,,,,1,
multilayer film production - SI units,multilayer film,false,3a017a81-50f7-4a19-b71c-106d1b57115e,false,,Z2: REMADE,,,,-1,,,,,,,,,,,,,,,,1
